sample_index,macro_nmae,global_rel_l2,macro_mre_eq5,x_nmae,y_nmae,z_nmae,x_rel_l2,y_rel_l2,z_rel_l2,x_mre_eq5,y_mre_eq5,z_mre_eq5,x_curl_max,y_curl_max,z_curl_max,field_rms,curl_rms,theta,phi,abs_cos_theta,k_max,k_mean,kd_axis_max,kd_axis_mean,cell_min_m,cell_max_m,cell_anisotropy,max_abs_amp,max_abs_ez_amp,mean_abs_ez_amp,khat_z_abs
800,0.14776896685361862,0.5763908624649048,1.6121935844421387,0.04098065197467804,0.033782266080379486,0.36854398250579834,0.12616275250911713,0.09363410621881485,0.9106366038322449,1.0064932107925415,0.8870033025741577,2.943084239959717,20007.908203125,27083.212890625,1725.6558837890625,15.613985061645508,8837.0546875,0.2643450276329999,-2.68474101691986,0.9652638371954342,1031.7708469838071,561.9246718463526,0.7638752430914779,0.4160229440098419,0.0006065671234592334,0.0007669960835294985,1.2644867383437197,4.981532786779591,1.7568992723808328,0.925096329464111,0.9652638371954342
801,0.0393473245203495,0.14285315573215485,0.8284762303034464,0.024834848940372467,0.055641479790210724,0.03756564483046532,0.08671664446592331,0.19693511724472046,0.12765561044216156,0.5677745342254639,1.0252041816711426,0.8924499750137329,28938.197265625,19385.50390625,5760.111328125,8.562435150146484,7682.12890625,0.20710814368936964,0.07464517540280591,0.9786296604090798,1025.3454901798777,587.3012424234266,0.35263449784635065,0.2019833126395188,0.00035142786715198777,0.0006809280614699124,1.9376040579485982,4.8489570129367285,0.8853113170487418,0.44402223703133104,0.9786296604090798
802,0.04929544652501742,0.18290217220783234,2.1902827819188437,0.06164822727441788,0.04550729691982269,0.04073081538081169,0.21600426733493805,0.16297274827957153,0.15843117237091064,0.5828893184661865,4.574581146240234,1.4133778810501099,15163.2568359375,15604.900390625,14292.8544921875,9.492915153503418,5423.5712890625,0.6237713342277289,1.9212046381501162,0.8116813961942293,1037.9844238146393,562.5938278191081,0.33544990632087807,0.1818158755649358,0.0003981541497023797,0.0004975960349946918,1.24975724946392,4.354297353403366,2.602261022126754,0.9131547166921015,0.8116813961942293
803,0.0802608293791612,0.21153493225574493,1.1972400744756062,0.0594339445233345,0.0437246672809124,0.1376238763332367,0.14602355659008026,0.10726788640022278,0.33278587460517883,1.0019818544387817,0.7010318040847778,1.8887065649032593,25017.9453125,50945.86328125,12865.88671875,26.09041976928711,18784.37890625,2.133143130278549,0.31327997457629886,0.5331730745920654,1036.6204785971352,558.6949758478412,0.4760432903242342,0.25656737454208334,0.0005705883581076256,0.0007322088887770733,1.2832524154636933,7.899752185553891,7.899752185553891,4.4016573592168005,0.5331730745920654
804,0.212314339975516,0.9746663570404053,1.265523095925649,0.04626500606536865,0.045285023748874664,0.5453929901123047,0.14747768640518188,0.15204650163650513,1.4815118312835693,1.4144282341003418,0.29639190435409546,2.0857491493225098,19072.158203125,21474.462890625,190.9167938232422,11.29223918914795,6173.599609375,0.035636987811452414,-2.2280224458700975,0.9993650697506453,1002.4392226553506,483.44077542950447,0.7768646849589602,0.37465420068612165,0.0003179475496893716,0.0007754667172433503,2.4389768626962707,4.830527749621338,0.21627217770184853,0.10884762860012591,0.9993650697506453
805,0.1864902228116989,0.471486896276474,1.967346429824829,0.28554826974868774,0.18560872972011566,0.08831366896629333,0.6758044362068176,0.39929741621017456,0.23701372742652893,1.9654567241668701,2.828335762023926,1.1082468032836914,9175.3466796875,17216.751953125,39963.01953125,19.248315811157227,12611.025390625,1.8179904564226936,2.456503062322402,0.24468434627072144,1023.6741851617958,565.967660188871,0.5500391775560305,0.3041049494516604,0.0003496433162979043,0.0007156386373963142,2.046767674479364,9.81299909760821,9.81299909760821,5.252313342273348,0.24468434627072144
806,0.041192460184295975,0.14081253111362457,0.8648217419783274,0.026636825874447823,0.06316204369068146,0.033778510987758636,0.08967643976211548,0.19930067658424377,0.11499613523483276,0.2831832468509674,1.517455816268921,0.793826162815094,16673.3203125,9014.76953125,11933.4521484375,13.825791358947754,5050.6650390625,2.3899242198619146,-1.327181451529371,0.7305505819136544,840.3695067127218,393.5029885051875,0.3243519169790781,0.15187777238362465,0.0005029717608207788,0.0007152627194176774,1.4220733153099285,4.882664786804885,4.110422637922713,1.927288639627466,0.7305505819136544
807,0.07054329911867778,0.20588049292564392,0.9713038404782613,0.07596749067306519,0.07110677659511566,0.06455563008785248,0.1986413151025772,0.21920019388198853,0.20176617801189423,0.6221895813941956,1.0689291954040527,1.2227927446365356,8483.5634765625,15526.982421875,12927.580078125,14.783696174621582,5195.63916015625,0.6318465204456564,-1.0243248351176364,0.8069382635492072,981.7848155629296,406.7191743404462,0.6317908762270612,0.2617289037899435,0.00043791879306547975,0.0007974743615020801,1.8210553511980423,4.8128000003536,2.382552512513419,1.0419888076065227,0.8069382635492072
808,0.08664253602425258,0.35349929332733154,2.343874752521515,0.08154971897602081,0.049466900527477264,0.12891098856925964,0.31362271308898926,0.20776818692684174,0.4810774326324463,0.8327808976173401,1.6730087995529175,4.525834560394287,29710.689453125,24401.3125,5075.85400390625,13.125821113586426,7748.8505859375,0.20590545200724492,1.5674572080205813,0.9788762629128607,1022.6591195244841,546.535695421992,0.6774657969182106,0.36205538421783334,0.00036835475318500464,0.0006767506493631138,1.837225238744832,4.990881753389238,1.043882905963928,0.64664178632317,0.9788762629128607
809,0.07655378555258115,0.17095467448234558,0.7616292039553324,0.05671517178416252,0.08026959002017975,0.09267659485340118,0.12455756217241287,0.1799711436033249,0.20035728812217712,0.3633561134338379,1.0685272216796875,0.8530042767524719,63224.359375,23957.734375,17447.474609375,39.2791633605957,23485.109375,1.1624119533429949,-1.8214534900434665,0.3971270836451632,942.2363004952314,485.55611052994726,0.30257218597248803,0.15592243017821267,0.0003611825664899093,0.00045857812192478793,1.269657410049994,12.791618862551966,12.791618862551966,6.148147905282538,0.3971270836451632
